date,open,high,low,volume,close,direction
25-10-2007,337.147186,337.29126,329.631073,11666200,332.095032,0
26-10-2007,334.837219,336.084106,331.87149,6751400,335.120361,1
29-10-2007,336.695129,337.802917,333.873474,6172400,337.42041,1
30-10-2007,336.565948,347.693604,336.565948,13890900,345.140198,1
31-10-2007,348.081055,351.215668,345.771088,13842900,351.215668,1
01-11-2007,349.124298,354.553955,348.622559,13139200,349.332916,0
02-11-2007,352.959351,354.484406,346.416901,11758900,353.326935,1
05-11-2007,351.210724,362.755615,350.753693,17882900,360.480408,1
06-11-2007,366.396942,368.49826,360.157532,16982200,368.49826,1
07-11-2007,368.17041,371.205658,359.233521,16654500,364.101868,0
08-11-2007,364.926514,365.070557,336.402039,33239100,344.678192,0
09-11-2007,335.706543,338.736847,328.468628,22924200,329.839722,0
12-11-2007,326.744843,332.800446,311.081726,20587600,313.992767,0
13-11-2007,320.411041,328.324554,313.992767,17000500,328.140747,1
14-11-2007,334.46463,335.5625,316.079224,16294500,318.766724,0
15-11-2007,317.221771,321.657928,309.983856,14025900,312.790588,0
16-11-2007,314.921722,315.691742,306.019623,18203100,314.767731,1
19-11-2007,312.760803,316.327606,307.251617,11126600,310.902863,0
20-11-2007,316.183533,327.420441,314.390198,19809000,322.174561,1
21-11-2007,319.804962,332.820313,318.965424,14118200,328.125854,1
23-11-2007,332.835236,336.948486,331.896332,5512900,336.163574,1
26-11-2007,337.902283,344.459625,330.351379,13668400,330.848145,0
27-11-2007,335.219727,336.029449,323.029022,17924800,334.608704,1
28-11-2007,338.851105,344.906708,333.898315,15935900,343.893311,1
29-11-2007,343.143188,349.124298,341.662811,12496700,346.247986,1
30-11-2007,353.202759,353.232574,338.851105,15893500,344.260925,0
03-12-2007,343.272339,345.254456,338.369232,8706300,338.562988,0
04-12-2007,336.963379,343.76416,336.372223,8518500,339.869476,1
05-12-2007,344.126801,347.206757,341.528687,8473900,346.998108,1
06-12-2007,346.645416,355.964783,346.25296,9881800,355.319,1
